URI de la canción;Nombre de la canción;Nombre(s) del artista;Fecha de lanzamiento del álbum
spotify:track:3hlWUNjAlbZ6nOjAbrivBv;Princesas;Pereza;2005-04-07
spotify:track:0eVborSuxUeSg0meWYd9dZ;Soldadito marinero;Fito y Fitipaldis;2004-12-28
spotify:track:1VB4sadHjFcFklHcZuoROi;Como Camarón;Estopa;1999-10-18
spotify:track:709CndJJB3GTUhQD0LLFse;Torero;Chayanne;2002
spotify:track:2zNDRGoRkNEkMhO5fcGTMv;Sarandonga;Lolita;2001-03-26
spotify:track:0YxU7V3kuCGwzuWCLiOXgF;Que la Detengan;David Civera;2016-11-18
spotify:track:2EM9zpAc7PVeoAydmbfVIL;La Camisa Negra;Juanes;2004-01-01
spotify:track:3G0C3Z9H9CLejvrkWbGBb7;Pa' Madrid;El Barrio;2007-10-15
spotify:track:5QrHfu4q83HjcFcRi2WlS3;Volare (Nel Blu di Pinto di Blu);Gipsy Kings;1989-08-02
spotify:track:15m2Op4d1ZtX0ScPaDNKcd;Vino Tinto;Estopa;2001-10-23
spotify:track:6PfQB3xEbIlky1dXOb3Yyh;Amigos para Siempre;Los Manolos;1992-06-23
spotify:track:3ONjIwgGbz6W1HFWRPsWRM;Como Ronea;Las Chuches;2004-05-13
spotify:track:3QncI2MDoSto39bT8SJtKK;Antes Muerta Que Sencilla;María Isabel;2004-01-01
spotify:track:6D3YqQ9dUA9LBOLw4CEUj1;El Toro Guapo;El Fary;1984
spotify:track:78GUxsLIyH3ZohwhNCTKES;Noches de bohemia;Navajita Platea;2007-05-25
spotify:track:3v1dCP3hk2djfWryqfp7sx;Caminando por la vida;Melendi;2005
spotify:track:4UtREbGYnd1nZLckEb5y8J;Carolina - En directo 2000;M-Clan;2001
spotify:track:7BCer0V0I1CZDI6S6kYD44;Son de Amores;Andy & Lucas;2001-01-01
spotify:track:4ppxWzgjvst4Mv1Kpwooeh;Búscate un hombre que te quiera;El Arrebato;2004-08-30
spotify:track:0csENJioyGcnIChZJymTDE;Mi gran noche;Raphael;2005-11-21
spotify:track:1dOvNHs7dDO9i91w13Hpj4;Eva María se fue;Daniel Diges;2012-01-27
spotify:track:6nz1ojKuYx5HO7Vh0wmuWp;Vuela, Vuela (Voyage, Voyage);Magneto;2007-06-12
spotify:track:4Y6cDd4EPHcEbiUKdyvNwM;Macarena;Los Del Rio;1993-12-13
spotify:track:0QQHPRbgLJJ5XNzJV1l9BW;María;Ricky Martin;1995-09-12
spotify:track:0wQCKR9OFjYu5Kzrk7WivJ;Corazón partío;Alejandro Sanz;1997
spotify:track:6NG2IIXZfC5Notpz0GIODU;The Ketchup Song (Aserejé) - Spanish Version;Las Ketchup;2002
spotify:track:7Eb5AYiiGWItBNddlmxvnh;A quién le importa;Alaska Y Dinarama;1986
spotify:track:5BSclXJTa9B0iURhUjZo50;La Tortura (feat. Alejandro Sanz);Shakira, Alejandro Sanz;2005-06-03
spotify:track:29699gQVPOc6cLocZJMsRT;Adolescentes;Kiko y Shara, Shara;2007-05-22
spotify:track:2s7WJ9IRON5zalNbfFY1xa;Bulería;David Bisbal;2004-01-01
spotify:track:4rFCPjKfgbEeNvs1Ku4nbd;Yo Quiero Bailar;Sonia Y Selena;2001-01-01
spotify:track:5OaqffbeQyVVqtnA71Ci7K;Por la Raja de Tu Falda;Estopa;1999-10-18
spotify:track:3vb3xZADNMONqL7aRQLVPJ;Hay Quel Venir al Sur;Raffaella Carrà;2013-07-30
spotify:track:6AXCWtG8yPOcsFnKMqPILE;Escuchame Mujer;Fondo Flamenco;2007
spotify:track:79eUc9cUUoUOO1b5znphiU;Física o química;Despistaos;2008-10-14
spotify:track:23oUr08MMdYcn9jRz39wYV;El Baile del Gorila;Melody;2001
spotify:track:2TMhNVnegm2SMQ6lvhaxdm;Dos Hombres Y Un Destino;Bustamante, Alex Casademunt;2002-01-01
spotify:track:70iXrOETHNdFJpEikr4h2C;Ave María;David Bisbal;2006-01-01
spotify:track:0GzQB5WXavUEU8tfTCAd8m;Cuando zarpa el amor;Camela;2004-11-22
spotify:track:0ATzislS5SvAp69hjHczej;Solo Se Vive una Vez;Azucar Moreno;1996-05-06
spotify:track:36inQzyICgt9y0jddpVQe1;Corazón Latino;David Bisbal;2002-10-15
spotify:track:7mpZY3qVNv9ePmyMxTIDOn;A toda mecha;S.J.K.;2005-03-07
spotify:track:3Af6XfS90PAZaC4Q2AjPtg;Uno más uno son 7;Fran Perea;2003-10-20
spotify:track:7FnNMHyONreKLMWU3STSwK;Toma Vitamina;La Fiesta;2002
spotify:track:0gyq9BgV4Veyy06r8cxDII;¡No Me Toques Las Palmas Que Me Conozco!;María Isabel;2004-01-01
spotify:track:42VgiRyg0YjtRVLiPFNxPJ;Zapatillas;El Canto Del Loco;2005
spotify:track:0qe8ejgap3s39vLXc4K4dU;Salomé;Chayanne;1990
spotify:track:0byd9zFQjdxxRdCNpPMFVk;Te Quiero Más;Fórmula Abierta;2002-06-07
spotify:track:29FzHMsSfDSp2UYxK7EzNG;No Soy Un Superman;Bustamante;2002-01-01
spotify:track:5zHwTt4s8di4RBQLnr2YUh;Chica Ye-Ye;Conchita Velasco;2008-01-01
spotify:track:3l8Ennt1PqShViwh0tkWuc;La Madre de Jose;El Canto Del Loco;2003
spotify:track:4n43gABaScqvSEiM8i0kkW;Devuelveme La Vida;Bustamante;2005-01-01
spotify:track:4PRJD9T23GQKQYKhJQcGGY;Aquí No Hay Playa;The Refrescos;1989-01-01
spotify:track:70f6HTczJo4mjv4YzVGkl8;Nunca debí enamorarme;Camela;2003-03-02
spotify:track:3f2k0XTc2ZXG17jEMDu8pp;Quiero tener tu presencia;Seguridad Social;1993
spotify:track:0M2tanh26PWePnaGVV3h3y;Salta!!!;Tequila;1981-01-04
spotify:track:5fc3XWSpJo6jTlbjnhGOJQ;Eva Maria;Formula V;1985-01-01
spotify:track:4v6yUkJSlED5Ollt6tFiQG;Soy Yo;Marta Sánchez;2002-01-01
spotify:track:2Ma2f8jV8VKMJoAcnCvZ8h;Y Yo Sigo Aqui - Spanglish;Paulina Rubio;2000-01-01
spotify:track:5r5hCjNjWdmQTHtHBZ7ghy;Corazón Contento;Marisol;1999-01-18
spotify:track:6HsHxC2fodTup07rS0OUBS;Fiesta;Rafaella Carra;2016-02-26
spotify:track:3X1XS6pRVFlp5qLY2OgSD0;Bye Bye;David Civera;2016-11-18
spotify:track:6b61wUfgkYnP1pmXI6k13J;Duro De Pelar;Rebeca;1996-01-15
spotify:track:7I9RbU1SwkpC2qiaykbOmj;Que Te Den;Amparanoia;1997-06-30
spotify:track:0uMMLry3hzWGn3q3loqMkm;La Bamba;Los Lobos;1987-06-20
spotify:track:3iB8eciGU9vZkaDYkz7Ir9;Bamboléo;Gipsy Kings;1987-08-24
spotify:track:5WovBMPS14QCqKgBEM1PaO;Sobreviviré;Monica Naranjo;2019-11-15
spotify:track:5OiU5DLjmMBF7ELAjIKxCZ;Maquillaje;Mecano;1988-04-05
spotify:track:2IofpcCv3PjgZ5AjX446fi;Dime Que Me Quieres;Tequila;1980-01-04
spotify:track:0aIO4vndXigQGEo3hbIkhq;Me Duele La Cara De Ser Tan Guapo;Los Inhumanos;1988-08-01
spotify:track:1PgMmLl8C6O1a5c6oMV2Fo;Abre Tu Mente;Merche;2004-01-01
spotify:track:74anwTmdyvA3f8RUtCQqKD;Déjame;Los Secretos;1981-01-15
spotify:track:24yTPZXispM0aKaUHxLONo;Amante Bandido;Miguel Bosé;1977
spotify:track:57L5Szgx4pDUITuGNsxtfl;Ojala;Fondo Flamenco;2007
spotify:track:4QBrx05HrLnohYaS1cPGHO;Volvera;El Canto Del Loco;2005
spotify:track:12YCTXfmP10Fq1ycFADcAn;Desde mi ventana - 2006 Remastered Version;Melendi;2006-07-03
spotify:track:6eq7Ona0USHJVwIIzjxzta;Kisiera yo saber;Melendi;2006-11-13
spotify:track:2bPH3Ph0RHQuugStXcpyRP;Cuando Tú Vas;Chenoa;2002-01-01
spotify:track:5a76ewdxMy4WoMuDinapcl;Que La Detengan;David Civera;2002-01-01
spotify:track:7k57fMm1RhgUcetShwwLI4;A quién le importa;Fangoria;2010-10-22
spotify:track:170mnGhvEfUmWMuwfhCKaU;Me Colé en una Fiesta;Mecano;1988-04-05
spotify:track:1Wrzhfa5bNlqvsnCztz190;Devuélveme a mi chica;Hombres G;1985
spotify:track:4waqcUQWdj0yH26STWl2Rq;Rosas;La Oreja de Van Gogh;2003
spotify:track:30ddpolNHwXlrS5XO8MiiO;Marta, Sebas, Guille y los demás;Amaral;2005-03-14
spotify:track:4KOIPoWgg56YkP12E1aFoQ;Mari Carmen;La Pegatina;2011-07-10
spotify:track:7MKO7rUZzjw8p87zdZDgqa;Besos;El Canto Del Loco;2005
spotify:track:2VSGzQqy9nqJefcYGJNWst;Tanto la Queria;Andy & Lucas;2001-01-01
spotify:track:3xbymP6jIcdN0O2PB420bz;Escándalo;Raphael;1992
spotify:track:2yNkRWz9x7x3halzGPnYqn;Don Diablo;Miguel Bosé;1977
spotify:track:78FJd3BMjDQCA1Hh2QfKqS;Voy a pasármelo bien;Hombres G;1989
spotify:track:1tmwswvJnwOIrskyCKVsgv;Todos los días sale el sol;Bongo Botrako;2010-10-31
spotify:track:0W8nDs4H2cqxxAgszNMYO3;Waka Waka (Esto es Africa) (feat. Freshlyground);Shakira, Freshlyground;2010-04-29
spotify:track:3UmPmOnwIlGM6MtlY7s4dz;Toda la noche en la calle;Amaral;2002-02-04
spotify:track:7ifOnwJC0oH7cfbJQbUye1;20 de abril;Celtas Cortos;1991-04-17
spotify:track:2kaHorrtVLo9brE37NQvGa;Esta soy yo;El Sueño de Morfeo;2005-03-07
spotify:track:7AdFxpPaZckmsSrQSjnmDq;Soy Gitano - Tangos;Camaron De La Isla, Royal Philharmonic Orchestra, Tomatito;1989
spotify:track:1jJn6iK6o2Vg7iUKHztRTk;El universo sobre mí;Amaral;2005-03-14
spotify:track:4I644fN7UCChrmEgJIL4KL;No Dudaría - Remasterizado;Antonio Flores;1980
spotify:track:4XdePl1vOF1cYjTBYeYU9j;20 de Enero;La Oreja de Van Gogh;2003
spotify:track:3Th2of8xIYyImVLXUbzaTp;Tenía Tanto Que Darte;Nena Daconte;2008-01-01
spotify:track:4awJGQ6TIS542X4XS7PWu7;A Tu Vera;Lola Flores;1991-06-26
spotify:track:32SaRYYxS7SXjNNvIY9VBE;Alegría de Vivir;Ray Heredia;1991-01-31
spotify:track:15BdyloOmohWRWcnO4QILo;Sé lo que hicisteis - 2006 Remastered Version;Melendi;2006-07-03
spotify:track:3TZiiTNmVhLRMhPksHqk8M;Nunca volverá;El Sueño de Morfeo;2005-03-07
spotify:track:7cQ7axcCXsa963OluHTWlS;Sin ti no soy nada;Amaral;2002-02-04
spotify:track:1x8tjll0oP07qkZWVtm8ap;Sevilla Tiene un Color Especial;Los Del Rio;2001-03-19
spotify:track:1eRgClFGphd2MgpyIBsbfS;¡Chas! Y aparezco a tu lado;Alex Y Christina;1988
spotify:track:7pIfwKV8EOPmJlConSHk2E;Se acabó;María Jiménez;1978
spotify:track:020Gj87SqDRvzGHELzcCEc;Cien gaviotas;Duncan Dhu;1986-01-17
spotify:track:1EC0JRoSi9YL5zExd3Euc3;No Puedo Vivir Sin Ti;Los Ronaldos;2007-03-19
spotify:track:2c4lkvFscid22nr32FByC4;Mil Calles Llevan Hacia Ti;La Guardia;1988-07-27
spotify:track:24UStI5AYA7g5ufFDh3LH0;Por la boca vive el pez;Fito y Fitipaldis;2006-09-11
spotify:track:1hbWtHgRDG25DkmxE4I28V;Puedes Contar Conmigo;La Oreja de Van Gogh;2003
spotify:track:0l6t6VVX8b0rzetokYAl3L;Wavin' Flag - Coca-Cola® Spanish Celebration Mix;K'NAAN, David Bisbal;2009
spotify:track:4QkQmdvFjEVvjc1ONi6t6N;Bailar Pegados;Sergio Dalma;1991-01-01
spotify:track:35rm7tY2YiGG2H4yDbqj87;Por quererte;Efecto Mariposa;2009-04-28
spotify:track:1sMgCr1RH0HfAazVZt9xmZ;El Secreto de las Tortugas;Maldita Nerea;2009-05-07
spotify:track:5NQw5WJwKRPaaSDHXD04Fs;Lady Madrid;Pereza;2009-08-25
spotify:track:0yjUKvDF7VwgHp9SUJTZdT;Mirando al cielo;Huecco;2008-04-22
spotify:track:2MfzKUwj8ZTswNxY0A8GEA;Las cosas pequeñitas;Nolasco;2006-11-02
spotify:track:1msphInQ8bBBQGFZkll7FX;En Que Estrella Estara;Nena Daconte;2006-01-01
spotify:track:4B6ko7lt1sUtyFzBDF4yfK;Pajaros de Barro;Manolo Garcia;1998-11-14
spotify:track:4x1SuI9nPq9tWeEbaRDUsM;Como una Ola;Rocío Jurado;1984-03-11
spotify:track:476qF2YsjlF2pBNgbn0Q4E;Estoy Hecho De Pedacitos De Ti;Antonio Orozco;2011-01-01
spotify:track:3TY1PFZXmYeiLcXygB74My;Suerte (Whenever, Wherever);Shakira;2001-11-13
spotify:track:24w139jhWNnuQjnlhlzLvi;Feo Fuerte y Formal;Loquillo Y Los Trogloditas;2001
spotify:track:6b37xrsNCWYIUphFBazqD6;Me Gustas Tu;Manu Chao;2001-06-01
spotify:track:2WdNC6VcV3u3djMKSHGviq;Tengo Que Impedir Esa Boda;La Húngara;2009-03-24
spotify:track:1DOuHBUpfN1GwDsZOZkwgO;Ella;Bebe;2004
spotify:track:2LpCMTQ8VM1ssTdfLjeyzQ;Pena Penita Pena;Lola Flores;1991-06-26
spotify:track:7Cf4bpnB164MgYLCPWd88h;Dime;Beth;2003-01-01
spotify:track:6kQYMqjobmB8MkWwa9OUyA;Amiga mía;Alejandro Sanz;1997
spotify:track:2xqNBP7kAqeZi96QISEGx4;Antes Que Ver El Sol;Coti, Dani Martín;2003-02-21
spotify:track:02dphTJYUQ9pmdNC52iyOz;Fiesta Pagana;Mägo de Oz;2000
spotify:track:3XVqHF3B6WLt0VZh7fscxi;Hoy;India Martinez;2012-10-23
spotify:track:2LsbizbOeNa4x6qsi2jAMb;La flaca;Jarabe De Palo;1996
spotify:track:1aZc9YBrZpKCE1YqSMV5Vg;Chica de ayer;Nacha Pop;2005-03-21
spotify:track:2nKE2LZc7drFcEr7et2Rch;Y Viva España;Manolo Escobar;1989
spotify:track:7uou7DWqEQSNfxcfipxyIu;Cuéntame un cuento;Celtas Cortos;1991-04-17
spotify:track:5NV19rJlAYrAAFXQTZVC55;Estrella Polar (with Juan Aguirre);Pereza, Juan Aguirre;2007
spotify:track:3K8BeABgLXZ3JHhdM3rZBx;No Puedo Vivir Sin Ti;El Canto Del Loco;2009-11-24
spotify:track:2kZJ5wrpq1gCdHmVEjahoH;Pan y mantequilla;Efecto Pasillo;2013-12-20
spotify:track:0XxJX5RIwUkX37UIdGZu9C;Dramas y comedias;Fangoria;2013-02-26
spotify:track:3quyxN3SapEsojxk1Uw10K;El ataque de las chicas cocodrilo;Hombres G;1986
spotify:track:4C2zOFgrXxfNGNpYQWIcaH;Labios Compartidos;Maná;2006-08-18
spotify:track:7dITAq1YP5e0kTcaDq4YWI;Limón y Sal;Julieta Venegas;2006-05-25
spotify:track:21gEdIRnNJ6fdrAPbMglTx;El Mundo Tras el Cristal;La Guardia;1988-07-27
spotify:track:2UC0OxMpQeSYft4pRswyEX;Sabor de amor;Danza Invisible;1989-01-01
spotify:track:4eJikwHYHJ3yMg1tvS1Mom;Chiquilla;Seguridad Social;1991-06-12
spotify:track:3BNy8c9gYaL63nL5DKHFMU;Cuando Brille el Sol;La Guardia;1990-07-06
spotify:track:7M65iLprqQ9UJNqer4g6AM;Llamando a la tierra - Serenade From the Stars;M-Clan;1999
spotify:track:3xiNRrrVROKlHrflHGNTfG;Antes de que cuente diez;Fito y Fitipaldis;2009-09-11
spotify:track:7sRXhReWmJF5pqyg3uUTES;Solamente tú;Pablo Alborán;2011-02-01
spotify:track:1YiySJUtmc1VLwB8iNctaC;Hoy no Me Puedo Levantar;Mecano;1998-03-24
spotify:track:6V78ktWCGcJIIB5DPJBoPn;19 Dias y 500 Noches;Joaquín Sabina;1999-08-10
spotify:track:1hI1st8dvPmr1S55XDkavG;Yo no te pido la luna;Sergio Dalma;2011-11-29
spotify:track:2yc9sElleYDl3NXMZSgsRv;Blanco y Negro;Malú;2010-05-08
spotify:track:3MvbFAlNARGUpMPEkn88Ho;Jardín de rosas;Duncan Dhu;1986-01-17
spotify:track:4xD3uniBa4chEGsQm1cjJL;Orgullo;El Barrio;2007-10-15
spotify:track:7LpS82vPDLgZAHWRtWBBRj;Ni tú ni nadie;Alaska Y Dinarama;1984-05-29
spotify:track:7KcFlbQmzhVczGMor3Fhr9;Por el Bulevar de los Sueños Rotos;Joaquín Sabina;1994-06-01
spotify:track:2VybHZvsshGs8GpOaB0wS1;Aunque tú no lo sepas;Enrique Urquijo y Los problemas;1998-01-21
spotify:track:5EbklL3iBxWedD57pMIFXM;La roja baila - Himno oficial de la selección española;Sergio Ramos, Niña Pastori, RedOne;2016-06-10
spotify:track:61ccRl3FBtLs3U5HuBtP6e;El Hombre del Piano;Ana Belén;1979
spotify:track:3lEr2jd647hXNmHQCl8Sjp;Para Que Tu No Llores;Antonio Carmona, Alejandro Sanz;2006-01-01
spotify:track:1EBYkBMIU9nWRCLsot4DN2;Lo echamos a suertes;Ella Baila Sola;1996
spotify:track:0fmgOwkb9AwgzXhYVSZRDs;Te regalo;Carlos Baute;2005-07-18
spotify:track:1uAjXdRxH2PBCKGSWPagGJ;Libre;Nino Bravo;1976-01-01
spotify:track:0tgiIdA7BEKOM6nSdBX84T;16 Añitos;Dani Martín;2010-10-26
spotify:track:3H4gp39BIC4t3guLhjJBZr;Estoy enfermo (con Melendi);Pignoise, Melendi;2009-06-18
spotify:track:0incizGIFilFp6soKuyHvZ;La Gata Bajo la Lluvia;Rocío Dúrcal;1998-06-19
spotify:track:1Ev18ptTlc3CBQMmKsIfjY;Nada Fue Un Error;Coti, Andrés Calamaro;2003-02-21
spotify:track:7FXZbH91wnIsipIl6LDwkU;El Run Run (with Rosario);Estopa, Rosario;2009-11-17
spotify:track:4t4JJ0RG2KWhrTVdSrp7O9;Una Rosa Es una Rosa;Mecano;1991-05-27
spotify:track:1KeqvKUwhQg7nCu9NcPycO;Ritmo de la Noche - Radio Edit;Mystic;2009
spotify:track:6mUQ6NW9WRcCuSsi4kzdlf;Un Rayo de Sol;Los Diablos;2013-01-02
spotify:track:4zhr1tInyVKTMa3IIZUclg;Apatrullando la Ciudad;El Fary;1998
spotify:track:12FI23F59xB0DOoZcVKf4J;Bienvenidos;Miguel Ríos;1992-01-01
spotify:track:2XDrvJ6uhiwVLNj25eDCLW;Soy un Truhán, Soy un Señor;Julio Iglesias;1978-12-08
spotify:track:1YyTA0ysYP9F3ry6lqOJB4;Inmortal;La Oreja de Van Gogh;2008-09-30
spotify:track:1Qo29QfhrhhhoniBr1WCDq;Que Nadie;Manuel Carrasco, Malú;2009-01-01
spotify:track:39b7wKFIPHVdbTgUvEeKxu;Campanera;Joselito;1962
spotify:track:6arKgQHCGt2buopAxKTpQt;Sueños;Diego Torres;2001-10-31
spotify:track:3ri9fLG89OdSpjxheYxU7S;Me Muero;La Quinta Estacion;2006-08-15
spotify:track:5Hep3JI0YhpNNpbcurrvSS;Corazon de Tango;Doctor Deseo;1992
spotify:track:6pWeJvzpQR1ihiUSJklOzD;Paseo;Estopa;2005-11-16
spotify:track:5kKO6Hxn8C9Ow6hv9oeRI1;Los Coches Chocones;Los Desgraciaus;2013-11-04
spotify:track:6VVBXRsXAuN5UvqKNw7j0l;Cacho a Cacho;Estopa;1999-10-18
spotify:track:5IU4JO2cpa0wPK8oQWFfCr;Un Beso Y Una Flor;Nino Bravo;1976-01-01
spotify:track:29opVIw8I1BOZntEn3Un2I;La Puerta de Alcalá;Ana Belén, Víctor Manuel;1979
spotify:track:7nK3q1GgJDxlWfCwtiLV5a;A fuego lento;Rosana;1996
spotify:track:5dQVYFtcLA4pvTRiTFRFkC;A Dios Le Pido;Juanes;2004-01-01
spotify:track:02LY9cHQcP3g9wtDfykKDs;Lloraré Las Penas;David Bisbal;2002-10-15
spotify:track:5vCgDt0CtheaWVKzMW5KkO;Cero;Dani Martín;2013-09-17
spotify:track:6htAV9HKCmoDdyyvDNX9DQ;La lista de la compra (feat. María Jiménez);La Cabra Mecanica, María Jiménez;2001-06-15
spotify:track:4wUmBIJKWsg7upWApYOwl2;Sueño su Boca;Raul;2001-01-01
spotify:track:4kJP8Z888wREJ8bRMWNMuk;La vereda de la puerta de atrás;Extremoduro;2002
spotify:track:7xT0YNKaOkvntYehrbRWen;Esta Cobardía;Chiquetete;1977
spotify:track:2JXn1MQeFqowxtRxgmefuk;Otra Noche;Kaotiko;2001
spotify:track:1BZAlhBa3vudhlVg4t1DH2;El Porompompero;Manolo Escobar;2007-01-01
spotify:track:2NUTJK1BazWlFoHiRQzlTw;Tómbola;Marisol;2008-01-01
